Disease	Drug
Follicular lymphoma 	anti-cd19-car vector-transduced t cells
Haematopoietic/lymphoid cancer 	anti-cd19-car vector-transduced t cells
Mantle cell lymphoma 	anti-cd19-car vector-transduced t cells
Prolymphocytic leukaemia 	anti-cd19-car vector-transduced t cells
Diffuse large B-cell lymphoma 	anti-cd19-car vector-transduced t cells
Solid tumour/cancer 	p2b-004
Melasma 	hydroquinone
Impetigo 	retapamulin
Solid tumour/cancer 	hl-1172
Hypertension 	apn01
Myocardial infarction 	apn01
Rheumatoid arthritis 	ssr-240612
Solid tumour/cancer 	gemcitabine
Solid tumour/cancer 	noppi
Non-insulin dependent diabetes 	cat-1904
Allergy 	recombinant house dust mite allergy desensitization injection
Type-2 diabetes 	ds-1150b
Solid tumour/cancer 	rg7888
Urothelial carcinoma 	rg7888
Type-2 diabetes 	np-01
Fibrosis 	ptl-303
Pleural disease 	talc
Trypanosomiasis 	cpd-0905
Human immunodeficiency virus infection 	ad-439
Hyperlipidaemia 	tocotrienol
Arteriosclerosis 	il1aqb
Solid tumour/cancer 	pacis
Type-2 diabetes 	gcr-1087
Obesity 	gcr-1087
Infectious disease 	mbs-101c
Diabetic foot ulcer 	dcb-wh1
Solid tumour/cancer 	coload1
Mycobacterium infection 	cd1-tb
Hepatitis B virus infection 	hepagam b
Autoimmune diabetes 	ni-0801
Congestive heart failure 	carperitide
Thrombin deficiency 	pro-urokinase
Intermittent claudication 	cilostazol
Atopic dermatitis 	an0128
Psoriatic disorder 	an0128
Non-small-cell lung cancer 	dpv-001
Prostate cancer 	dpv-001
Imaging 	albumin iodinated serum
Solid tumour/cancer 	adarotene ester derivative back-up compounds
Hypertension 	mp-157
Diabetic complication 	insulin lyspro recombinant
Alkalosis 	hydrochloric acid
Cancer related pain 	pmid25666693-compound-145
Inflammatory pain 	pmid25666693-compound-145
Osteoarthritis pain 	pmid25666693-compound-145
Neuropathic pain 	pmid25666693-compound-145
Virus infection 	oxetane 3,3-dicarboxamide compound 1
Allergic rhinitis 	mrx-4
Insomnia 	ethchlorvynol
Anaesthesia 	heptabarbital
Dyslipidemia 	prc-4016
Carbohydrate metabolism disorder 	anamorelin
Solid tumour/cancer 	kst-301
Epilepsy 	anti-epileptics
Obesity 	4-methyl-4,5-dihydro-1h-pyrazole-3-carboxamide derivative 1
Multiple sclerosis 	las-189913
Solid tumour/cancer 	bi-638683
Mood disorder 	vortioxetine
Major depressive disorder 	vortioxetine
Metastatic cancer 	heteroaryl-carboxamide derivative 9
Solid tumour/cancer 	heteroaryl-carboxamide derivative 9
Malaria 	som-0888
Human immunodeficiency virus infection 	nnrti
Non-hodgkin lymphoma 	arzerraofatumumab
Urinary tract infection 	biphenyl mannoside derivative 25
Crohn disease 	biphenyl mannoside derivative 25
Ulcerative colitis 	biphenyl mannoside derivative 25
Radioactive tracer 	technetium tc-99m pentetate kit
Solid tumour/cancer 	ml-721
Asthma 	npc-17731
Coronary artery disease 	medi5884
Alcohol dependence 	cort-125134
Solid tumour/cancer 	cort-125134
Motor neurone disease 	rg-7010
Elevated C-reactive protein 	evinacumab
Solid tumour/cancer 	ly3127804
Melanoma 	qs-21
Bacterial infection 	trovafloxacin
Colorectal cancer 	necitumumab
Hepatocellular carcinoma 	bms-582664
Type-1 diabetes 	lisofylline
Periodontal disease 	bt-301
Metabolic disorder 	sbc-105
Hypertension 	ym-099
Human immunodeficiency virus infection 	multivalent (hivis 07) dna vaccine derma vax/zetajet
Inflammation associated with osteoarthritis 	ibu-pc
Pain 	ibu-pc
Disorder of calcium metabolism 	elcatonin
Hemochromatosis 	hepcidin
Staphylococcus infection 	staphguard
Crohn disease 	c-linked disaccharide biphenyl mannoside derivative 4
Urinary tract infection 	c-linked disaccharide biphenyl mannoside derivative 4
Ulcerative colitis 	c-linked disaccharide biphenyl mannoside derivative 4
Asthma 	tak-225
Colon cancer 	a33-ac-225
Recurrent glioblastoma 	nvx-108
Solid tumour/cancer 	ch-5132799
Solid tumour/cancer 	dx-2400
Prostate cancer 	prostatix
Solid tumour/cancer 	simotaxel
Dementia 	og-45
Pain 	eptazocine hbr
Osteoporosis 	pod-003
Solid tumour/cancer 	ndc-1187
Nasopharyngeal carcinoma 	epstein-barr virus-specific immunotherapy
Multiple myeloma 	actr-bcma
Angina pectoris 	nematode anticoagulant proteins
Bacterial infection 	a-11259
Cardiovascular disease 	act-178882
Bipolar disorder 	abs-103
Lupus 	y-175l
Influenza virus infection 	pev-8
Lipid metabolism disorder 	cp-778875
Cushing disease 	trilostane
Chronic pain 	fentanyl transdermal
Solid tumour/cancer 	gsk2661380
Solid tumour/cancer 	pf-05094037
Nausea 	buclizine
Staphylococcus infection 	mc-207252
Rheumatoid arthritis 	cel-2000
Acute supraventricular tachycardia 	esmolol
Esophageal cancer 	apr-246
Myelodysplastic syndrome 	apr-246
Ovarian cancer 	apr-246
Solid tumour/cancer 	apr-246
Pain 	abs-212
Schizophrenia 	low dose iti-007
Rheumatoid arthritis 	fenoprofen
Prostate cancer 	il-12 gene therapy
Hepatitis 	cyclic compound 1
Human immunodeficiency virus infection 	cyclic compound 1
Infectious disease 	cyclic compound 1
Solid tumour/cancer 	cyclic compound 1
Endometriosis 	pmid27215781-compound-28
Asthma 	ono-ae1-437
Solid tumour/cancer 	ds-8895
Parkinson disease 	dnl151
Influenza virus infection 	tvx-004
Solid tumour/cancer 	regn-910
Acute lymphocytic leukaemia 	cd19/cd22 car t-cells
B-cell lymphoma 	cd19/cd22 car t-cells
B-cell prolymphocytic leukaemia 	cd19/cd22 car t-cells
Non-hodgkin lymphoma 	cd19/cd22 car t-cells
leukaemia 	cd19/cd22 car t-cells
Psoriasis vulgaris 	coal tar
Cancer related pain 	pmid25666693-compound-71
Inflammatory pain 	pmid25666693-compound-71
Osteoarthritis pain 	pmid25666693-compound-71
Neuropathic pain 	pmid25666693-compound-71
Multiple sclerosis 	rhigm22
Brain cancer 	cc-8490
Hyperparathyroidism 	cinacalcet
Kidney disease 	cinacalcet
Lung inflammation 	sp-d
Bacterial infection 	cl-186659
Bronchopulmonary dysplasia 	pneumostem
Respiratory distress syndrome 	pneumostem
Pain 	skl-np
Non-small-cell lung cancer 	fus-1 tumor suppressor gene therapy - nanoparticle formulation
Bone marrow transplantation 	sdz-89-104
Kidney disease 	fg-4592
Inflammation 	vt-346
Rheumatoid arthritis 	ad-452
Bacterial infection 	cp-67015
Bacterial infection 	thiamphenicol
Arteriosclerosis 	rp-805
Ovarian cancer 	phenoxodiol
Hyperlipidaemia 	rp-70676
Hepatitis B virus infection 	hl-1983
Prostate cancer 	nbi-29
Inflammation 	cat-1000
Solid tumour/cancer 	sar-405838
Obesity 	methylnaltrexone bromide
Opioid-induced constipation 	methylnaltrexone bromide
Solid tumour/cancer 	oxamflatin
Anxiety disorder 	pikamilone
Pain 	alo-02 oxycodone- naltrexone core
Solid tumour/cancer 	peg-g-csf
Multiple sclerosis 	mms-255
Heart failure 	olprinone
Non-small-cell lung cancer 	crizotinib
B-cell lymphoma 	4scar19 and 4scar20
Pancreatic cancer 	sm-88
Prostate cancer 	sm-88
Weight loss 	cerulenin
Acidosis 	tromethamine
Anxiety disorder 	co-60549
Hypercholesterolaemia 	mt-001
Pancreatic cancer 	load703
Solid tumour/cancer 	perfosfamide
Metabolic disorder 	nnz-3006
Myopathy 	ux-001
Hereditary inclusion body myositis 	ux-001
Mesothelioma 	sel-403
Pancreatic cancer 	sel-403
Major depressive disorder 	apimostinel
Hematologic tumour 	darinaparsin
Peripheral T-cell lymphoma 	darinaparsin
Liver cancer 	darinaparsin
Multiple myeloma 	darinaparsin
Central nervous system disease 	ntp-6009
Wound healing 	am-220
Breast cancer 	tc99-labeled 14f7 humanized mab
Cancer related pain 	pmid25666693-compound-97
Inflammatory pain 	pmid25666693-compound-97
Neuropathic pain 	pmid25666693-compound-97
Osteoarthritis pain 	pmid25666693-compound-97
Obesity 	prx-07034
Hypertension 	sq-33351
Solid tumour/cancer 	bms-986016
Cholelithiasis 	chenodiol
Cardiovascular disease 	vapiprost
Prostate cancer 	apc-300
leukaemia 	xl-228
Flavivirus infection 	prophylactic dengue fever vaccine
Peripheral vascular disease 	vascugel
Inflammation 	fluocinonide
Acne vulgaris 	dmt310
Huntington disease 	123i-mni-420
Schizophrenia 	mesoridazine
Cardiac failure 	xb-513
Cytomegalovirus infection 	cidofovir
Solid tumour/cancer 	cph-102
Solid tumour/cancer 	[111in]b3
Lymphoma 	anti-cd30 car t cells
Type-2 diabetes 	alogliptin/metformin
Parkinson disease 	v81444
Pain 	prtt-100
Small-cell lung cancer 	bms-986012
Solid tumour/cancer 	ly3009120
Cognitive impairment 	ht-2157
Chronic kidney disease 	azd1772//rdx5791
Bacterial infection 	b-lactams
Duchenne dystrophy 	eteplirsen
Biliary tract cancer 	dkn-01
Cholangiocarcinoma 	dkn-01
Endometrial cancer 	dkn-01
Esophageal cancer 	dkn-01
Multiple myeloma 	dkn-01
Oesophagogastric junction cancer 	dkn-01
Ovarian cancer 	dkn-01
Ulcerative colitis 	ser-287
Asthma 	fht-ct4
Solid tumour/cancer 	zd-6126
Cataract 	tirilazad mesylate
Subarachnoid hemorrhage 	tirilazad mesylate
Asthma 	kc-11404
Pediatric growth disorder 	sermorelin
Respiratory syncytial virus infection 	pev-4
Psoriasis vulgaris 	x-083-nab
Prostate cancer 	leuprorelin acetate
Influenza A virus H1N1 infection 	influenza virus dna vaccine
Solid tumour/cancer 	at-009
Hormone replacement therapy 	trimegestone
Pain 	bulleyaconitine a
Human immunodeficiency virus infection 	miv-170
Metabolic disorder 	musculoskeletal disorder/metabolic disease therapy
Rosacea 	minocycline topical
Wound healing 	ade-cran
Factor IX deficiency 	csl-654
Solid tumour/cancer 	arq 736
Alzheimer disease 	medi1814
Solid tumour/cancer 	thiazole carboxamide derivative 24
Metastatic cancer 	thiazole carboxamide derivative 24
Metastatic cancer 	heterocyclic derivative 12
Solid tumour/cancer 	heterocyclic derivative 12
Diabetic complication 	lobeglitazone
Attention deficit hyperactivity disorder 	pmid30124346-compound-24table4
Pain 	ketobemidone
Factor VIII deficiency 	fiv vectors
Small-cell lung cancer 	amrubicin
Chronic lymphocytic leukaemia 	cc-292
Immune thrombocytopenic purpura 	lgd-4665
Diabetic complication 	lidorestat
Inflammation 	ipl-423
Blood forming organ disorder 	recombinant batroxobin
Solid tumour/cancer 	kp-27
Human immunodeficiency virus infection 	nktr-140
Temporomandibular joint syndrome 	analgesic peptides
Paroxysmal supraventricular tachycardia 	etripamil
Magnetic resonance imaging of liver 	mangafodipir trisodium
Lipid metabolism disorder 	a-3309
Xerophthalmia 	al-59640
Parasitic infection 	rf1v
Insomnia 	temazepam
Insulin-dependent diabetes 	diabecell
Breast cancer 	dalotuzumab
Diabetic complication 	naveglitazar
Metabolic disorder 	isofagomine tartrate
Inflammation 	ta-101
Chronic pain 	five membered heterocyclic benzamide derivative 2
Neuropathic pain 	five membered heterocyclic benzamide derivative 2
Pruritus 	five membered heterocyclic benzamide derivative 2
Solid tumour/cancer 	five membered heterocyclic benzamide derivative 2
Thymic cancer 	five membered heterocyclic benzamide derivative 2
Solid tumour/cancer 	l-377202
Pain 	pd-0204318
Solid tumour/cancer 	stat-3 inhibitors
Neuropathic pain 	cizolirtine
Haematological malignancy 	im19
Non-hodgkin lymphoma 	im19
Diabetic foot ulcer 	pdgf-bb
Obesity 	pyrazole derivative 32
Acute myeloid leukaemia 	coti-001
Pain 	ed-1812
Chronic myelogenous leukaemia 	an-019
Contraception 	oestradiol valerate and dienogest
Endometriosis 	oestradiol valerate and dienogest
Solid tumour/cancer 	mt-119
Hepatitis 	pmid30107136-compound-example14
Human immunodeficiency virus infection 	pmid30107136-compound-example14
Solid tumour/cancer 	pmid30107136-compound-example14
Infectious disease 	pmid30107136-compound-example14
Colorectal cancer 	tas-102
Glaucoma/ocular hypertension 	pym-50018
Bacterial infection 	bacampicillin
Chemotherapy or radiotherapy-induced mucositis 	hmg-coa reductase inhibitor
Osteoporosis 	atf-936
Chronic kidney disease 	ferric citrate
Human immunodeficiency virus infection 	ctp-298
Infectious disease 	ikt-001
Hepatocellular carcinoma 	gpc3-cart cells
Breast cancer 	spi-2012
Herpes simplex virus infection 	cal-103-r
Angina pectoris 	ym-758
Bacterial infection 	ro-25-1132
Acute bacterial skin infection 	gepotidacin
Type-2 diabetes 	mk-8521
Atopic dermatitis 	cis-urocanic acid
Multiple sclerosis 	glatiramer acetate
Hypophosphatasia 	renazorb
Attention deficit hyperactivity disorder 	atomoxetine
Throat irritation 	menthol
Solid tumour/cancer 	sndx-6352
Solid tumour/cancer 	ep-200
Neutropenia 	srg
Asthma 	anti-m1 prime
Chronic lymphocytic leukaemia 	gnkg-168
Solid tumour/cancer 	hedgehog pathway antagonists
Solid tumour/cancer 	ont-10
Haematological malignancy 	bag956
Pain 	mk-49
Diabetic complication 	pulmonary insulin
Melanoma 	fx005
Solid tumour/cancer 	cart-egfr
Prostate hyperplasia 	dihydrotestosterone
Gastric adenocarcinoma 	ici 118,551
HER2-positive breast cancer 	ici 118,551
Hypertension 	naftopidil
Adult respiratory distress syndrome 	alt-836
Stroke 	na-1 neuroprotectant
Hypercholesterolaemia 	fr-194738
Spinal muscular atrophy 	avxs-101
Prostate cancer 	xentuzumab
Influenza virus infection 	aln-flu01
Rheumatoid arthritis 	abbv-257
Solid tumour/cancer 	adriac-36
Anxiety disorder 	azd-2327
Nephritis 	tei-5178
Central nervous system disease 	phenylsulfonyl derivative 2
Genetic disease 	aav-gus
Osteoarthritis 	pmi-005
Hepatitis C virus infection 	hap-ifn
Non-insulin dependent diabetes 	chf-1522
Type-2 diabetes 	tofogliflozin
Acne vulgaris 	benzoyl peroxide
Solid tumour/cancer 	smtp-0
Non-small-cell lung cancer 	pf-06463922
Solid tumour/cancer 	pf-06463922
Non-small-cell lung cancer 	abt-839
Obesity 	brl 26830a
Advanced malignancy 	mcs-110
Bone metastases 	mcs-110
Breast cancer 	mcs-110
Tenosynovial giant cell tumour 	mcs-110
Triple negative breast cancer 	mcs-110
Virus infection 	m102.4
Solid tumour/cancer 	pmid25684022-compound-us20120277229 41(1.3)
Metastatic cancer 	pmid25684022-compound-us20120277229 41(1.3)
Rheumatoid arthritis 	cxcr3 antagonists, merck serono
West nile virus infection 	west nile virus vaccine
Melanoma 	op-03
Autoimmune diabetes 	dd-3
Irritable bowel syndrome 	ddp-225
Cardiovascular disease 	1-mna
Hyperlipidaemia 	1-mna
Hyperprolactinaemia 	cabergoline
Toxicity 	dav-132
Immune System disease 	loxoribine
Asthma 	ym-344031
Breast cancer 	aa-102
Plaque psoriasis 	shr-1314
Parkinson disease 	ropinirole subdermal implant
Emphysema 	glassia
Human immunodeficiency virus infection 	iscar
Heart failure 	iw-1973
Adenocarcinoma 	mipsagargin
Retinopathy 	gene therapy, retinopathy, copernicus
Solid tumour/cancer 	apc-003
Recurrent glioblastoma 	bal-101553
Solid tumour/cancer 	bal-101553
Optic neuritis 	rtl-342m
Solid tumour/cancer 	on-24160
Solid tumour/cancer 	mt-101
Multiple sclerosis 	biib-098
Solid tumour/cancer 	cxd-101
Infectious disease 	pmid30107136-compound-example8
Hepatitis 	pmid30107136-compound-example8
Human immunodeficiency virus infection 	pmid30107136-compound-example8
Solid tumour/cancer 	pmid30107136-compound-example8
Human immunodeficiency virus infection 	pyrimidinediones
Methicillin-resistant staphylococci infection 	nemonaxacin
Diffuse large B-cell lymphoma 	vr876
Anal fistula 	a-fizz
Mycobacterium infection 	kbf-611
Hypotension 	metaraminol
Hereditary hemorrhagic telangiectasia 	ranibizumab
Diarrhea 	peru-15 pctb
Respiratory disease 	sig-003
Age-related macular degeneration 	shef-1
Cerebrovascular ischaemia 	scio-323
Pemphigus vulgaris 	mycophenolate mofetil
Immune System disease 	mycophenolate mofetil
Organ transplant rejection 	mycophenolate mofetil
Soft tissue sarcoma 	palifosfamide
Cervical Intraepithelial neoplasia 	adxs-hpv
Cervical cancer 	adxs-hpv
Pain 	amg-8563
Solid tumour/cancer 	ep-302
Breast cancer 	ep-302
Psoriasis vulgaris 	bl-7020
Transplant rejection 	aom-0871
Osteoarthritis 	cyclodextrin
Solid tumour/cancer 	d-3263
Solid tumour/cancer 	xk-469
Lymphoma 	oncolym
Acromegaly 	bim23a760
Carcinoid syndrome 	bim23a760
Melanoma 	mitumomab
Acute lymphoblastic leukaemia 	cd19 car-t lymphocytes
Premenstrual syndrome 	ph-80
Cancer related pain 	pmid25666693-compound-44
Neuropathic pain 	pmid25666693-compound-44
Osteoarthritis pain 	pmid25666693-compound-44
Inflammatory pain 	pmid25666693-compound-44
Intermittent claudication 	llg783
Vascular systems peripheral arterial disorder 	llg783
Blindness 	tgaag76
Mood disorder 	tgba01ad
Solid tumour/cancer 	tgf-beta receptor 1 kinase inhibitor
Nausea 	palonosetron
Solid tumour/cancer 	bms-986249
Asthma 	amg 157
Hypertension 	kw-3433
Clostridium infection 	smt-19969
Helicobacter infection 	h pylori vaccine
Liver metastasis 	contusugene ladenovec
Oral cancer 	contusugene ladenovec
Herpes simplex virus infection 	genital herpes therapy
Coronary artery disease 	dmp-444
Gastric adenocarcinoma 	plevitrexed (r)-isomer
Diabetic nephropathy 	h.p. acthar gel
Multiple myeloma 	gbr 1342
Cystic fibrosis 	qr-010
Influenza virus infection 	ic31 seasonal influenza vaccine
Solid tumour/cancer 	n-acylpiperidine ether derivative 6
Chronic pain 	n-acylpiperidine ether derivative 6
Neuropathic pain 	n-acylpiperidine ether derivative 6
Pruritus 	n-acylpiperidine ether derivative 6
Thymic cancer 	n-acylpiperidine ether derivative 6
Solid tumour/cancer 	bmab-200
Hepatitis B virus infection 	aps-2010
Brain injury 	np93-31
Prostate cancer 	tak-448
leukaemia 	mc-2001
MRSA infection 	staphstop
Acute myeloid leukaemia 	cd123/cll1 car-t cells
Peripheral neuropathy 	wst-057
Solid tumour/cancer 	mpc-0767
Solid tumour/cancer 	pim1 inhibitors
Inflammation 	piperazine urea derivative 4
Solid tumour/cancer 	piperazine urea derivative 4
Solid tumour/cancer 	smac mimetics
B-cell lymphoma 	anti-cd19 and anti-cd20 car-t cells
Breast cancer 	megestrol
Arteriosclerosis 	zd-9720
Ischemia 	raxofelast
Congestive heart failure 	cilazapril
Arthropathy 	as-902330
Pain 	ocfentanil
Gastroparesis 	td-5108
Non-hodgkin lymphoma 	cc-90011
Solid tumour/cancer 	cc-90011
Seizure disorder 	shp615
Resorption of radiopaque agents 	hyaluronidase (ovine)
Chronic obstructive pulmonary disease 	thrx-198321
Vomiting 	dau-6285
Hepatocellular carcinoma 	immucyst
Solid tumour/cancer 	triciribine
Solid tumour/cancer 	buserelin acetate
Rheumatoid arthritis 	pegsunercept
Diabetic complication 	resx-i
Solid tumour/cancer 	bl-1893
Tinea pedis 	oxiconazole
Bacterial infection 	gentian violet
Spinal cord injury 	tempol
Solid tumour/cancer 	wl-276
Insomnia 	ly-2624803
Bone metastases 	am-3701
Solid tumour/cancer 	igfbp 2 variants
Hepatitis 	pmid30107136-compound-example59
Human immunodeficiency virus infection 	pmid30107136-compound-example59
Infectious disease 	pmid30107136-compound-example59
Solid tumour/cancer 	pmid30107136-compound-example59
Neuropathic pain 	pmid25666693-compound-93
Cancer related pain 	pmid25666693-compound-93
Inflammatory pain 	pmid25666693-compound-93
Osteoarthritis pain 	pmid25666693-compound-93
Multiple myeloma 	grn163
Multiple sclerosis 	som-0999
Albinism 	pmid26815044-compound-32
Senile lentigines 	pmid26815044-compound-32
Ephelides 	pmid26815044-compound-32
Melasma 	pmid26815044-compound-32
Menkes disease 	pmid26815044-compound-32
Varicella zoster virus infection 	varilrix
Multiple sclerosis 	az-01, pegylated interferon-beta
Malaria 	glyphosate
Melanoma 	hi8 melanoma vaccine
